Sample	Mapped_count	Total_read	Percentage
SRR1542417	42740838	56455411	75.71
SRR1542416	41001450	54038225	75.87
SRR1542415	40879972	55730935	73.35
SRR1542414	41170233	53916631	76.36
SRR1542413	52524564	67490014	77.83
SRR1542412	59141088	76714383	77.09
SRR1542411	39424291	51678457	76.29
SRR1542410	43668419	66201326	65.96
SRR1542409	51893916	73803033	70.31
SRR1542408	44200377	63466609	69.64
SRR1542407	61281092	75990953	80.64
SRR1542406	49960968	68627235	72.8
SRR1542405	55406155	76134375	72.77
SRR1542404	64338458	81331219	79.11
